Data,Horário,Atividade/Passeio,Restaurante (acessível),Estimativa (R$)
21/04,11h30,Almoço,Duetto’s Café & Bistrô,50
21/04,13h00,Museu Imperial,,,
21/04,15h00,Catedral São Pedro de Alcântara,,,
21/04,19h30,Jantar,Trattoria do Filippi,70
21/04 Total,,,,120
22/04,Manhã,Home Office,,,
22/04,16h00,Palácio de Cristal,,,
22/04,20h00,Jantar,Casa do Alemão,60
22/04 Total,,,,60
23/04,09h30,Museu de Cera,,,
23/04,12h00,Almoço + Tour,Cervejaria Bohemia,80
23/04,14h30,Casa de Santos Dumont,,,
23/04,16h00,Casa dos 7 Erros,,,
23/04,19h30,Jantar,Petiscaria Lago Sul,70
23/04 Total,,,,150
24/04,Manhã,Home Office,,,
24/04,16h00,Rua Teresa,,,
24/04,19h00,Cinema,Cine Show Petrópolis,50
24/04,21h00,Jantar,Majórica (prato individual),70
24/04 Total,,,,120
25/04,08h30,Café da manhã,Hotel Kastel (incluso),-
25/04,10h00,Check-out e retorno,,,
25/04 Total,,,,Incluso